正體字形,簡化字形,音序,臺／陸特有詞,臺／陸特有音,臺灣音讀,臺灣漢拼,大陸音讀,大陸漢拼
不可捉摸,不可捉摸,,,,,,ㄅㄨˋ ㄎㄜˇ ㄓㄨㄛ ㄇㄛ,bùkě–zhuōmō
,不克,,,,ㄅㄨ‵ ㄎㄜˋ,bú kè,ㄅㄨ′ ㄎㄜˋ,bùkè
不客氣,不客气,,,,ㄅㄨ‵ ㄎㄜˋ ㄑㄧˋ,búkèqì,ㄅㄨ′ ㄎㄜˋ ㄑㄧˋ,bùkèqì
不快,不快,,,,ㄅㄨ‵ ㄎㄨㄞˋ,búkuài,ㄅㄨ′ ㄎㄨㄞˋ,bùkuài
不愧,不愧,,,,ㄅㄨˊ ㄎㄨㄟˋ,búkuì,ㄅㄨˋ ㄎㄨㄟˋ,bùkuì
不賴,不赖,,,,ㄅㄨ‵ ㄌㄞˋ,búlài,ㄅㄨ′ ㄌㄞˋ,bùlài
不郎不秀,不郎不秀,,,,ㄅㄨˋ ㄌㄤˊ ㄅㄨˊ ㄒ丨ㄡˋ,bùlánɡ-búxiù,ㄅㄨˋ ㄌㄤˊ ㄅㄨˋ ㄒ丨ㄡˋ,bùlánɡ-bùxiù
不稂不莠,不稂不莠,,,,ㄅㄨˋ ㄌㄤˊ ㄅㄨˊ 丨ㄡˋ,bùlánɡ-búyòu,ㄅㄨˋ ㄌㄤˊ ㄅㄨˋ 丨ㄡˇ,bùlánɡ-bùyǒu
不勞而獲,不劳而获,,,,,,ㄅㄨˋ ㄌㄠˊ ㄦˊ ㄏㄨㄛˋ,bùláo’érhuò
,不理,,,,,,ㄅㄨˋ ㄌ丨ˇ,bùlǐ
,不力,,,,ㄅㄨ‵ ㄌㄧˋ,búlì,ㄅㄨ′ ㄌㄧˋ,bùlì
,不利,,,,ㄅㄨˊ ㄌ丨ˋ,búlì,ㄅㄨˋ ㄌ丨ˋ,bùlì
,不良,,,,,,ㄅㄨˋ ㄌ丨ㄤˊ,bùliánɡ
不良貸款,不良贷款,,,,,,ㄅㄨˋ　ㄌ丨ㄤˊ　ㄉㄞˋ　ㄎㄨㄢˇ,bùliánɡ  dàikuǎn
不良導體,不良导体,,,,,,ㄅㄨˋ ㄌ丨ㄤˊ ㄉㄠˇ ㄊ丨ˇ,bùliánɡ  dǎotǐ
,不良少年,,▲,,,,ㄅㄨˋ ㄌㄧㄤˊ ㄕㄠˋ ㄋㄧㄢˊ,bùliáng shàonián
不良適應,不良适应,,,,,,ㄅㄨˋ　ㄌ丨ㄤˊ　ㄕˋ　丨ㄥˋ,bùliánɡ-shìyìnɡ
,不了,,,,,,ㄅㄨˋ ㄌ丨ㄠˇ,bùliǎo
,不了了之,,,,,,ㄅㄨˋ ㄌㄧㄠˇ ㄌㄧㄠˇ ㄓ,bùliǎo–liǎozhī
,不料,,,,ㄅㄨ‵   ㄌㄧㄠˋ,búliào,ㄅㄨ′   ㄌㄧㄠˋ,bùliào
,不吝,,,,ㄅㄨˊ ㄌ丨ㄣˋ,búlìn,ㄅㄨˋ ㄌ丨ㄣˋ,bùlìn
不吝賜教,不吝赐教,,,,ㄅㄨ‵ ㄌㄧㄣˋ ㄙˋ ㄐㄧㄠˋ,búlìn–sìjiào,ㄅㄨ′ ㄌㄧㄣˋ ㄘˋ ㄐㄧㄠˋ,bùlìn–cìjiào
不靈光,不灵光,,,,,,ㄅㄨˋ ㄌㄧㄥˊ ㄍㄨㄤ,bùlíngguāng
不留餘地,不留余地,,,,,,ㄅㄨˋ ㄌㄧㄡˊ ㄩˊ ㄉㄧˋ,bùliú–yúdì
不露聲色,不露声色,,,,ㄅㄨˊ ㄌㄡˋ ㄕㄥ ㄙㄜˋ,búlòu-shēnɡsè,ㄅㄨˋ ㄌㄨˋ ㄕㄥ ㄙㄜˋ,bùlù-shēnɡsè
不倫,不伦,,,,,,ㄅㄨˋ ㄌㄨㄣˊ,bùlún
不倫不類,不伦不类,,,,ㄅㄨˋ ㄌㄨㄣˊ ㄅㄨˊ ㄌㄟˋ,bùlún–búlèi,ㄅㄨˋ ㄌㄨㄣˊ ㄅㄨˋ ㄌㄟˋ,bùlún–bùlèi
不論,不论,,,,ㄅㄨ‵ ㄌㄨㄣˋ,búlùn,ㄅㄨ′ ㄌㄨㄣˋ,bùlùn
不落窠臼,不落窠臼,,,,ㄅㄨˊ ㄌㄨㄛˋ ㄎㄜ ㄐ丨ㄡˋ,búluò-kējiù,ㄅㄨˋ ㄌㄨㄛˋ ㄎㄜ ㄐ丨ㄡˋ,bùluò-kējiù
不滿,不满,,,,,,ㄅㄨˋ ㄇㄢˇ,bùmǎn
不蔓不枝,不蔓不枝,,,,ㄅㄨˊ ㄇㄢˋ ㄅㄨˋ ㄓ,búmàn-bùzhī,ㄅㄨˋ ㄇㄢˋ ㄅㄨˋ ㄓ,bùmàn-bùzhī
,不毛,,,,,,ㄅㄨˋ ㄇㄠˊ,bùmáo
,不毛之地,,,,,,ㄅㄨˋ ㄇㄠˊ ㄓ ㄉㄧˋ,bùmáozhīdì
,不免,,,,,,ㄅㄨˋ ㄇ丨ㄢˇ,bùmiǎn
,不妙,,,,ㄅㄨ‵  ㄇㄧㄠˋ,búmiào,ㄅㄨ′   ㄇㄧㄠˋ,bùmiào
,不敏,,,,,,ㄅㄨˋ ㄇ丨ㄣˇ,bùmǐn
不名數,不名数,,,,,,ㄅㄨˋ　ㄇ丨ㄥˊ　ㄕㄨˋ,bùmínɡshù
,不名一文,,,,ㄅㄨˋ ㄇ丨ㄥˊ 丨ˋ ㄨㄣˊ,bùmínɡ-yìwén,ㄅㄨˋ ㄇ丨ㄥˊ 丨 ㄨㄣˊ,bùmínɡ-yīwén
,不明,,,,,,ㄅㄨˋ ㄇ丨ㄥˊ,bùmínɡ
,不明不白,,,,,,ㄅㄨˋ ㄇ丨ㄥˊ ㄅㄨˋ ㄅㄞˊ,bùmínɡ-bùbái
不明飛行物,不明飞行物,,,,,,ㄅㄨˋ ㄇ丨ㄥˊ ㄈㄟ ㄒ丨ㄥˊ ㄨˋ,bù mínɡ  fēixínɡwù
不明就裡,不明就里,,,,,,ㄅㄨˋ ㄇㄧㄥˊ ㄐㄧㄡˋ ㄌㄧˇ,bùmíng–jiùlǐ
,不明物,,,,,,ㄅㄨˋ ㄇ丨ㄥˊ ㄨˋ,bùmínɡwù
不摸頭,不摸头,,,,,,ㄅㄨˋ　ㄇㄛ　ㄊㄡˊ,bùmōtóu
不謀而合,不谋而合,,,,,,ㄅㄨˋ ㄇㄡˊ ㄦˊ ㄏㄜˊ,bùmóu’érhé
不能,不能,,,,,,ㄅㄨˋ ㄋㄥˊ,bùnénɡ
不能不,不能不,,,,,,ㄅㄨˋ ㄋㄥˊ ㄅㄨˋ,bùnénɡbù
不念舊惡,不念旧恶,,,,ㄅㄨˊ ㄋ丨ㄢˋ ㄐ丨ㄡˋ ㄜˋ,búniàn-jiù’è,ㄅㄨˋ ㄋ丨ㄢˋ ㄐ丨ㄡˋ ㄜˋ,bùniàn-jiù’è
不佞,不佞,,,,ㄅㄨˊ ㄋ丨ㄥˋ,búnìnɡ,ㄅㄨˋ ㄋ丨ㄥˋ,bùnìnɡ
,不怕,,,,ㄅㄨˊ ㄆㄚˋ,búpà,ㄅㄨˋ ㄆㄚˋ,bùpà
,不配,,,,ㄅㄨˊ ㄆㄟˋ,búpèi,ㄅㄨˋ ㄆㄟˋ,bùpèi
不偏不倚,不偏不倚,,,,,,ㄅㄨˋ ㄆㄧㄢ ㄅㄨˋ ㄧˇ,bùpiān–bùyǐ
,不平,,,,,,ㄅㄨˋ ㄆ丨ㄥˊ,bùpínɡ
不平等條約,不平等条约,,,,,,ㄅㄨˋ ㄆ丨ㄥˊ ㄉㄥˇ ㄊ丨ㄠˊ ㄩㄝ,bù pínɡděnɡ tiáoyuē
不平則鳴,不平则鸣,,,,,,ㄅㄨˋ ㄆㄧㄥˊ ㄗㄜˊ ㄇㄧㄥˊ,bùpíngzémíng
,不破不立,,,,ㄅㄨˊ ㄆㄛˋ ㄅㄨˊ ㄌ丨ˋ,búpò-búlì,ㄅㄨˋ ㄆㄛˋ ㄅㄨˋ ㄌ丨ˋ,bùpò-bùlì
不期而然,不期而然,,,,,,ㄅㄨˋ　ㄑ丨　ㄦˊ　ㄖㄢˊ,bùqī’érrán
不期而遇,不期而遇,,,,ㄅㄨˋ ㄑㄧˊ ㄦˊ ㄩˋ,bùqí’éryù,ㄅㄨˋ ㄑㄧ ㄦˊ ㄩˋ,bùqī’éryù
不期然而然,不期然而然,,,,,,ㄅㄨˋ ㄑ丨 ㄖㄢˊ ㄦˊ ㄖㄢˊ,bùqīránérrán
不起,不起,,,,,,ㄅㄨˋ ㄑ丨ˇ,bùqǐ
不起眼,不起眼,,,,,,ㄅㄨˋ ㄑㄧˇ ㄧㄢˇ,bùqǐyǎn
不起眼兒,不起眼儿,,,,,,ㄅㄨˋ ㄑ丨ˇ 丨ㄢˇㄦ,bùqǐyǎnr
不器,不器,,,,ㄅㄨˊ ㄑ丨ˋ,búqì,ㄅㄨˋ ㄑ丨ˋ,bùqì
,不巧,,,,,,ㄅㄨˋ ㄑㄧㄠˇ,bùqiǎo
不切實際,不切实际,,,,ㄅㄨ‵ ㄑㄧㄝˋ ㄕˊ ㄐㄧˋ,búqiè–shíjì,ㄅㄨ′ ㄑㄧㄝˋ ㄕˊ ㄐㄧˋ,bùqiè–shíjì
不情之請,不情之请,,,,,,ㄅㄨˋ ㄑㄧㄥˊ ㄓ ㄑㄧㄥˇ,bùqíngzhīqǐng
,不求人,,,,,,ㄅㄨˋ ㄑ丨ㄡˊ ㄖㄣˊ,bùqiúrén
不求甚解,不求甚解,,,,,,ㄅㄨˋ ㄑㄧㄡˊ ㄕㄣˋ ㄐㄧㄝˇ,bùqiú–shènjiě
不求聞達,不求闻达,,,,,,ㄅㄨˋ ㄑ丨ㄡˊ ㄨㄣˊ ㄉㄚˊ,bùqiú-wéndá
,不屈,,,,,,ㄅㄨˋ ㄑㄩ,bùqū
不屈不撓,不屈不挠,,,,,,ㄅㄨˋ ㄑㄩ ㄅㄨˋ ㄋㄠˊ,bùqū–bùnáo
不全,不全,,,,,,ㄅㄨˋ ㄑㄩㄢˊ,bùquán
不然,不然,,,,,,ㄅㄨˋ ㄖㄢˊ,bùrán
不讓,不让,,,,ㄅㄨˊ ㄖㄤˋ,búrànɡ,ㄅㄨˋ ㄖㄤˋ,bùrànɡ
不人道,不人道,,,,,,ㄅㄨˋ ㄖㄣˊ ㄉㄠˋ,bùréndào
,不仁,,,,,,ㄅㄨˋ ㄖㄣˊ,bùrén
,不忍,,,,,,ㄅㄨˋ ㄖㄣˇ,bùrěn
,不日,,,,ㄅㄨˊ ㄖˋ,búrì,ㄅㄨˋ ㄖˋ,bùrì
,不容,,,,,,ㄅㄨˋ ㄖㄨㄥˊ,bùróng
不容分說,不容分说,,,,,,ㄅㄨˋ ㄖㄨㄥˊ ㄈㄣ ㄕㄨㄛ,bùróng–fēnshuō
,不容置喙,,,,,,ㄅㄨˋ ㄖㄨㄥˊ ㄓˋ ㄏㄨㄟˋ,bùróng–zhìhuì
不容置疑,不容置疑,,,,,,ㄅㄨˋ ㄖㄨㄥˊ ㄓˋ ㄧˊ,bùróng–zhìyí
不如,不如,,,,,,ㄅㄨˋ ㄖㄨˊ,bùrú
不辱使命,不辱使命,,,,ㄅㄨ‵ ㄖㄨˇ ㄕˇ ㄇㄧㄥˋ,búrǔ–shǐmìng,ㄅㄨ′ ㄖㄨˇ ㄕˇ ㄇㄧㄥˋ,bùrǔ–shǐmìng
,不入耳,,,,ㄅㄨˊ ㄖㄨˋ ㄦˇ,búrù’ěr,ㄅㄨˋ ㄖㄨˋ ㄦˇ,bùrù’ěr
不入虎穴，焉得虎子,不入虎穴，焉得虎子,,,,ㄅㄨ‵ ㄖㄨˋ ㄏㄨˇ ㄒㄩㄝˋ ，ㄧㄢ ㄉㄜˊ ㄏㄨˇ ㄗˇ,bú rù hǔxuè，yān dé hǔzǐ,ㄅㄨ′ ㄖㄨˋ ㄏㄨˇ ㄒㄩㄝˊ ， ㄧㄢ ㄉㄜˊ ㄏㄨˇ ㄗˇ,bù rù hǔxué，yān dé hǔzǐ
,不三不四,,,,ㄅㄨˋ ㄙㄢ ㄅㄨ‵ ㄙˋ,bùsān–búsì,ㄅㄨˋ ㄙㄢ ㄅㄨ′ ㄙˋ,bùsān–bùsì
不衫不履,不衫不履,,,,,,ㄅㄨˋ ㄕㄢ ㄅㄨˋ ㄌㄩˇ,bùshān-bùlǚ
不善,不善,,,,ㄅㄨˊ ㄕㄢˋ,búshàn,ㄅㄨˋ ㄕㄢˋ,bùshàn
,不擅,,,,ㄅㄨˊ ㄕㄢˋ,búshàn,ㄅㄨˋ ㄕㄢˋ,bùshàn
不上心,不上心,,,,ㄅㄨˊ　ㄕㄤˋ　ㄒ丨ㄣ,búshànɡxīn,ㄅㄨˋ　ㄕㄤˋ　ㄒ丨ㄣ,bùshànɡxīn
,不少,,,,,,ㄅㄨˋ ㄕㄠˇ,bùshǎo
不甚了了,不甚了了,,,,ㄅㄨˊ　ㄕㄣˋ　ㄌ丨ㄠˇ　ㄌ丨ㄠˇ,búshèn-liǎoliǎo,ㄅㄨˋ　ㄕㄣˋ　ㄌ丨ㄠˇ　ㄌ丨ㄠˇ,bùshèn-liǎoliǎo
不慎,不慎,,,,ㄅㄨˊ ㄕㄣˋ,búshèn,ㄅㄨˋ ㄕㄣˋ,bùshèn
不勝,不胜,,,,ㄅㄨˋ ㄕㄥ,bùshēng,ㄅㄨˋ ㄕㄥˋ,bùshèng
不勝感激,不胜感激,,,,ㄅㄨˋ ㄕㄥ ㄍㄢˇ ㄐ丨,bùshēnɡ-ɡǎnjī,ㄅㄨˋ ㄕㄥˋ ㄍㄢˇ ㄐ丨,bùshènɡ-ɡǎnjī
不勝枚舉,不胜枚举,,,,ㄅㄨˋ ㄕㄥ‵ ㄇㄟˊ ㄐㄩˇ,bùshēng–méijǔ,ㄅㄨˋ ㄕㄥ  ㄇㄟˊ ㄐㄩˇ,bùshèng–méijǔ
不勝其煩,不胜其烦,,,,ㄅㄨˋ ㄕㄥ‵ ㄑㄧˊ ㄈㄢˊ,bùshēng–qífán,ㄅㄨˋ ㄕㄥ ㄑㄧˊ ㄈㄢˊ,bùshèng–qífán
不勝唏噓,不胜唏嘘,,,,ㄅㄨˋ ㄕㄥ‵ ㄒㄧ ㄒㄩ,bùshēng–xīxū,ㄅㄨˋ ㄕㄥ ㄒㄧ ㄒㄩ,bùshèng–xīxū
不失為,不失为,,,,,,ㄅㄨˋ ㄕ  ㄨㄟˊ,bùshīwéi
不時,不时,,,,,,ㄅㄨˋ ㄕˊ,bùshí
不時之需,不时之需,,,,,,ㄅㄨˋ ㄕˊ ㄓ ㄒㄩ,bùshízhī xū
不識,不识,,,,ㄅㄨˊ ㄕˋ,búshì,ㄅㄨˋ ㄕˊ,bùshí
不識時務,不识时务,,,,ㄅㄨˊ ㄕ′ ㄕˊ ㄨˋ,búshì–shíwù,ㄅㄨˋ ㄕ‵ ㄕˊ ㄨˋ,bùshí–shíwù
不識抬舉,不识抬举,,,,ㄅㄨ‵ ㄕ′ ㄊㄞˊ ㄐㄩˇ,búshì–táijǔ,ㄅㄨ′ ㄕ‵ ㄊㄞˊ ㄐㄩˇ,bùshí–táijǔ
不識泰山,不识泰山,,,,ㄅㄨˊ ㄕˋ ㄊㄞˋ ㄕㄢ,búshì-tàishān,ㄅㄨˋ ㄕˊ ㄊㄞˋ ㄕㄢ,bùshí-tàishān
不識一丁,不识一丁,,,,ㄅㄨˊ ㄕˋ 丨ˋ ㄉ丨ㄥ,búshì-yìdīnɡ,ㄅㄨˋ ㄕˊ 丨 ㄉ丨ㄥ,bùshí-yīdīnɡ
不識之無,不识之无,,,,ㄅㄨ‵ ㄕ′ ㄓ ㄨˊ,búshì–zhīwú,ㄅㄨ′ ㄕ‵ ㄓ ㄨˊ,bùshí–zhīwú
不實,不实,,,,,,ㄅㄨˋ ㄕˊ,bùshí
,不世出,,,,ㄅㄨˊ ㄕˋ ㄔㄨ,búshìchū,ㄅㄨˋ ㄕˋ ㄔㄨ,bùshìchū
不識閒兒,不识闲儿,,★,,ㄅㄨˊ ㄕˋ ㄒ丨ㄚˊㄦ,búshìxiár,ㄅㄨˋ ㄕˋ ㄒ丨ㄢˊㄦ,bùshìxiánér
不事,不事,,,,ㄅㄨˊ ㄕˋ,búshì,ㄅㄨˋ ㄕˋ,bùshì
不是玩兒的,不是玩儿的,,,,ㄅㄨˊ ㄕˋ ㄨㄚˊㄦ ˙ㄉㄜ,búshìwárde,ㄅㄨˋ ㄕˋ ㄨㄢˊ ㄦ ˙ㄉㄜ,bùshìwánrde
不是味兒,不是味儿,,,,ㄅㄨˊ ㄕˋ ㄨㄟˋㄦ,búshìwèir,ㄅㄨˋ ㄕˋ ㄨㄟˋ ㄦ,bùshìwèir
不是滋味兒,不是滋味儿,,,,ㄅㄨˊ ㄕˋ ㄗ ㄨㄟˋ兒,búshìzīwèir,ㄅㄨˋ ㄕˋ ㄗ ㄨㄟˋ儿,bùshìzīwèir
不適,不适,,,,ㄅㄨˊ ㄕˋ,búshì,ㄅㄨˋ ㄕˋ,bùshì
,不是,,,,ㄅㄨˊ ㄕˋ,búshì,ㄅㄨˋ ˙ㄕ,bùshi
,不受,,,,ㄅㄨˊ ㄕㄡˋ,búshòu,ㄅㄨˋ ㄕㄡˋ,bùshòu
,不淑,,,,,,ㄅㄨˋ ㄕㄨˊ,bùshú
,不爽,,,,,,ㄅㄨˋ ㄕㄨㄤˇ,bùshuǎnɡ
不死不活,不死不活,,,,,,ㄅㄨˋ ㄙˇ ㄅㄨˋ ㄏㄨㄛˊ,bùsǐ-bùhuó
不死藥,不死药,,,,,,ㄅㄨˋ ㄙˇ 丨ㄠˋ,bùsǐyào
不送氣,不送气,,,,ㄅㄨˊ ㄙㄨㄥˋ ㄑ丨ˋ,búsònɡqì,ㄅㄨˋ ㄙㄨㄥˋ ㄑ丨ˋ,bùsònɡqì
不速之客,不速之客,,,,ㄅㄨ‵ ㄙㄨˋ ㄓ ㄎㄜˋ,búsùzhīkè,ㄅㄨ′ ㄙㄨˋ ㄓ ㄎㄜˋ,bùsùzhīkè
,不溯既往,,,,ㄅㄨ‵ ㄙㄨˋ ㄐㄧˋ ㄨㄤˇ,búsùjìwǎng,ㄅㄨ′ ㄙㄨˋ ㄐㄧˋ ㄨㄤˇ,bùsùjìwǎng
不隨意肌,不随意肌,,,,,,ㄅㄨˋ ㄙㄨㄟˊ 丨ˋ ㄐ丨,bùsuíyìjī
不遂,不遂,,,,ㄅㄨ ‵ㄙㄨㄟˋ,búsuì,ㄅㄨ′ ㄙㄨㄟˋ,bùsuì
不特,不特,,,,ㄅㄨˊ ㄊㄜˋ,bútè,ㄅㄨˋ ㄊㄜˋ,bùtè
,不祧之祖,,,,,,ㄅㄨˋ ㄊ丨ㄠ ㄓ ㄗㄨˇ,bùtiāozhīzǔ
不通,不通,,,,,,ㄅㄨˋ ㄊㄨㄥ,bùtōnɡ
不同凡響,不同凡响,,,,,,ㄅㄨˋ ㄊㄨㄥˊ ㄈㄢˊ ㄒㄧㄤˇ,bùtóng–fánxiǎng
不痛不癢,不痛不痒,,,,ㄅㄨ‵ ㄊㄨㄥˋ ㄅㄨˋ ㄧㄤˇ,bútòng–bùyǎng,ㄅㄨ′ ㄊㄨㄥˋ ㄅㄨˋ ㄧㄤˇ,bùtòng–bùyǎng
不圖,不图,,,,,,ㄅㄨˋ ㄊㄨˊ,bùtú
不吐氣,不吐气,,,,,,ㄅㄨˋ ㄊㄨˇ ㄑ丨ˋ,bùtǔqì
,不妥,,,,,,ㄅㄨˋ ㄊㄨㄛˇ,bùtuǒ
,不外,,,,ㄅㄨˊ ㄨㄞˋ,búwài,ㄅㄨˋ ㄨㄞˋ,bùwài
,不外乎,,,,ㄅㄨˊ ㄨㄞˋ ㄏㄨ,búwàihū,ㄅㄨˋ ㄨㄞˋ ㄏㄨ,bùwàihū
不枉此生,不枉此生,,,,,,ㄅㄨˋ ㄨㄤˇ ㄘˇ ㄕㄥ,bùwǎng–cǐshēng
不為過,不为过,,,,,,ㄅㄨˋ ㄨㄟˊ ㄍㄨㄛˋ,bùwéiɡuò
不為所動,不为所动,,,,,,ㄅㄨˋ ㄨㄟˊ ㄙㄨㄛˇ ㄉㄨㄥˋ,bùwéi-suǒdònɡ
不為已甚,不为已甚,,,,,,ㄅㄨˋ ㄨㄟˊ 丨ˇ ㄕㄣˋ,bùwéi-yǐshèn
,不惟,,,,,,ㄅㄨˋ　ㄨㄟˊ,bùwéi
不韙,不韪,,,,,,ㄅㄨˋ ㄨㄟˇ,bùwěi
不謂,不谓,,,,ㄅㄨˊ　ㄨㄟˋ,búwèi,ㄅㄨˋ　ㄨㄟˋ,bùwèi
不聞不問,不闻不问,,,,ㄅㄨˋ ㄨㄣˊ ㄅㄨ‵ ㄨㄣˋ,bùwén–búwèn,ㄅㄨˋ ㄨㄣˊ ㄅㄨ′ ㄨㄣˋ,bùwén–bùwèn
不穩定平衡,不稳定平衡,,,,,,ㄅㄨˋ　ㄨㄣˇ　ㄉ丨ㄥˋ　ㄆ丨ㄥˊ　ㄏㄥˊ,bù wěndìnɡ  pínɡhénɡ
不無,不无,,,,,,ㄅㄨˋ ㄨˊ,bùwú
不無小補,不无小补,,,,,,ㄅㄨˋ ㄨˊ ㄒㄧㄠˇ ㄅㄨˇ,bùwú–xiǎobǔ
不務正業,不务正业,,,,ㄅㄨ‵ ㄨˋ ㄓㄥˋ ㄧㄝˋ,búwù–zhèngyè,ㄅㄨ′ ㄨˋ ㄓㄥˋ ㄧㄝˋ,bùwù–zhèngyè
,不惜,,,,ㄅㄨˋ ㄒ丨ˊ,bùxí,ㄅㄨˋ ㄒ丨,bùxī
,不暇,,,,,,ㄅㄨˋ　ㄒ丨ㄚˊ,bùxiá
,不下,,,,ㄅㄨˊ ㄒ丨ㄚˋ,búxià,ㄅㄨˋ ㄒ丨ㄚˋ,bùxià
,不相干,,,,,,ㄅㄨˋ ㄒ丨ㄤ ㄍㄢ,bùxiānɡɡān
,不相上下,,,,,,ㄅㄨˋ ㄒㄧㄤ ㄕㄤˋ ㄒㄧㄚˋ,bùxiāng–shàngxià
不相聞問,不相闻问,,,,,,ㄅㄨˋ ㄒ丨ㄤ ㄨㄣˊ ㄨㄣˋ,bùxiānɡ-wénwèn
不詳,不详,,,,,,ㄅㄨˋ ㄒ丨ㄤˊ,bùxiánɡ
,不祥,,,,,,ㄅㄨˋ ㄒ丨ㄤˊ,bùxiánɡ
不想,不想,,,,,,ㄅㄨˋ ㄒ丨ㄤˇ,bùxiǎnɡ
不像話,不像话,,,,ㄅㄨ′   ㄒㄧㄤ‵   ㄏㄨㄚ‵,búxiànghuà,ㄅㄨˋ ㄒㄧㄤˋ ㄏㄨㄚˋ,bùxiànɡhuà
不消,不消,,,,,,ㄅㄨˋ ㄒㄧㄠ,bùxiāo
不消說,不消说,,,,,,ㄅㄨˋ ㄒ丨ㄠ ㄕㄨㄛ,bùxiāoshuō
不孝,不孝,,,,ㄅㄨˊ ㄒ丨ㄠˋ,búxiào,ㄅㄨˋ ㄒ丨ㄠˋ,bùxiào
不孝有三，無後為大,不孝有三，无后为大,,,,ㄅㄨˊㄒ丨ㄠˋ丨ㄡˇㄙㄢ　，　ㄨˊ　ㄏㄡˋ　ㄨㄟˊ　ㄉㄚˋ,"búxiào yǒusān , wúhòu wéidà",ㄅㄨˋ　ㄒ丨ㄠˋ　丨ㄡˇ　ㄙㄢ　，　ㄨˊ　ㄏㄡˋ　ㄨㄟˊ　ㄉㄚˋ,"bùxiào yǒu sān,wúhòu wéidà"
不肖,不肖,,,,ㄅㄨ‵ ㄒㄧㄠˋ,búxiào,ㄅㄨ′ ㄒㄧㄠˋ,bùxiào
不屑,不屑,,,,ㄅㄨ‵  ㄒㄧㄝˋ,búxiè,ㄅㄨ′  ㄒㄧㄝˋ,bùxiè
不屑一顧,不屑一顾,,,,ㄅㄨˊ ㄒ丨ㄝˋ 丨′ ㄍㄨˋ,búxiè-yíɡù,ㄅㄨˋ ㄒ丨ㄝˋ 丨 ㄍㄨˋ,bùxiè-yīɡù
不懈,不懈,,,,ㄅㄨˊ ㄒ丨ㄝˋ,búxiè,ㄅㄨˋ ㄒ丨ㄝˋ,bùxiè
不信任案,不信任案,,,,ㄅㄨˊ ㄒ丨ㄣˋ ㄖㄣˋ ㄢˋ,búxìnrèn’àn,ㄅㄨˋ ㄒ丨ㄣˋ ㄖㄣˋ ㄢˋ,bùxìnrèn’àn
不興,不兴,,,,,,ㄅㄨˋ ㄒ丨ㄥ,bùxīnɡ
,不行,,,,,,ㄅㄨˋ ㄒ丨ㄥˊ,bùxínɡ
不形於色,不形于色,,,,,,ㄅㄨˋ ㄒㄧㄥˊ ㄩˊ ㄙㄜˋ,bùxíngyúsè
,不省人事,,,,,,ㄅㄨˋ ㄒㄧㄥˇ ㄖㄣˊ ㄕˋ,bùxǐng–rénshì
,不幸,,,,ㄅㄨ‵ ㄒㄧㄥˋ,búxìng,ㄅㄨ′ ㄒㄧㄥˋ,bùxìng
,不休,,,,,,ㄅㄨˋ　ㄒ丨ㄡ,bùxiū
不修邊幅,不修边幅,,,,,,ㄅㄨˋ ㄒㄧㄡ ㄅㄧㄢ ㄈㄨˊ,bùxiū–biānfú
,不朽,,,,,,ㄅㄨˋ ㄒㄧㄡˇ,bùxiǔ
不銹鋼,不锈钢,,,,ㄅㄨˊ ㄒ丨ㄡˋ ㄍㄤ,búxiùɡānɡ,ㄅㄨˋ ㄒ丨ㄡˋ ㄍㄤ,bùxiùɡānɡ
不須,不须,,,,,,ㄅㄨˋ ㄒㄩ,bùxū
不虛此行,不虚此行,,,,,,ㄅㄨˋ ㄒㄩ ㄘˇ ㄒㄧㄥˊ,bùxū–cǐxíng
不許,不许,,,,,,ㄅㄨˋ ㄒㄩˇ,bùxǔ
,不恤,,,,ㄅㄨˊ ㄒㄩˋ,búxù,ㄅㄨˋ ㄒㄩˋ,bùxù
,不宣,,,,,,ㄅㄨˋ ㄒㄩㄢ,bùxuān
不宣而戰,不宣而战,,,,,,ㄅㄨˋ ㄒㄩㄢ ㄦˊ ㄓㄢˋ,bùxuān'érzhàn
,不旋踵,,,,,,ㄅㄨˋ ㄒㄩㄢˊ ㄓㄨㄥˇ,bùxuánzhǒnɡ
不學無術,不学无术,,,,,,ㄅㄨˋ ㄒㄩㄝˊ ㄨˊ ㄕㄨˋ,bùxué–wúshù
不遜,不逊,,,,ㄅㄨ‵ ㄒㄩㄣˋ,búxùn,ㄅㄨ′ ㄒㄩㄣˋ,bùxùn
,不雅,,,,,,ㄅㄨˋ 丨ㄚˇ,bùyǎ
不言不語,不言不语,,,,,,ㄅㄨˋ 丨ㄢˊ ㄅㄨˋ ㄩˇ,bùyán-bùyǔ
不言而喻,不言而喻,,,,,,ㄅㄨˋ ㄧㄢˊ ㄦˊ ㄩˋ,bùyán’éryù
不言語,不言语,,,,,,ㄅㄨˋ 丨ㄢˊ ㄩˇ,bùyányǔ
不厭,不厌,,,,ㄅㄨˊ　丨ㄢˋ,búyàn,ㄅㄨˋ　丨ㄢˋ,bùyàn
不厭其詳,不厌其详,,,,ㄅㄨ‵ ㄧㄢˋ ㄑㄧˊ ㄒㄧㄤˊ,búyàn–qíxiáng,ㄅㄨ′ ㄧㄢˋ ㄑㄧˊ ㄒㄧㄤˊ,bùyàn–qíxiáng
不揚,不扬,,,,,,ㄅㄨˋ 丨ㄤˊ,bùyánɡ
