流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六,
0316,咥,ㄒ丨ˋ,ㄉ丨ㄝˊ,,,,,
0317,咧,ㄌ丨ㄝˇ,,,,,,
0318,咽,丨ㄢ,丨ㄝˋ,,,,,
0319,咼,ㄎㄨㄞ,,,,,,
0320,咷,ㄊㄠˊ,,,,,,
0321,哆,ㄉㄨㄛ,ㄔㄜˇ,,,,,
0322,咶,ㄏㄨㄚˋ,,,,,,
0323,哅,ㄒㄩㄥ,,,,,,
0324,咯,‧ㄌㄜ,ㄍㄜ,ㄎㄚˇ,,,,
0325,咬,丨ㄠˇ,ㄐ丨ㄠ,,,,,
0326,咱,ㄗㄢˊ,ㄗㄚˊ,,,,,
0327,咻,ㄒ丨ㄡ,ㄒㄩˇ,,,,,
0328,哈,ㄏㄚ,ㄏㄚˇ,ㄎㄚ,,,,
0329,唇,ㄓㄣ,ㄔㄨㄣˊ,,,,,
0330,哿,ㄎㄜˇ,,,,,,
0331,哼,ㄏㄥ,,,,,,
0332,哢,ㄌㄨㄥˋ,,,,,,
0333,哺,ㄅㄨˇ,,,,,,
0334,唔,ㄨˊ,,,,,,
0335,哮,ㄒ丨ㄠ,,,,,,
0336,哪,ㄋㄚˇ,‧ㄋㄚ,ㄋㄨㄛˊ,,,,
0337,哨,ㄕㄠˋ,,,,,,
0338,哩,ㄌ丨,ㄌ丨ˇ,,,,,
0339,員,ㄩㄢˊ,ㄩㄣˊ,,,,,
0340,唈,丨ˋ,,,,,,
0341,哦,ㄜˊ,ㄛˊ,,,,,
0342,唅,ㄏㄢ,ㄏㄢˊ,,,,,
0343,唧,ㄐ丨ˊ,,,,,,
0344,唼,ㄕㄚˋ,ㄑ丨ㄝˋ,,,,,
0345,啍,ㄊㄨㄣ,,,,,,
0346,啐,ㄘㄨㄟˋ,,,,,,
0347,啑,ㄐ丨ㄝˊ,,,,,,
0348,唪,ㄈㄥˇ,,,,,,
0349,啞,丨ㄚˇ,丨ㄚ,,,,,
0350,唶,ㄐ丨ㄝˋ,ㄗㄜˋ,,,,,
0351,啊,ㄚ,‧ㄚ,,,,,
0352,啦,ㄌㄚ,‧ㄌㄚ,,,,,
0353,啄,ㄓㄨㄛˊ,,,,,,
0354,唬,ㄏㄨˇ,,,,,,
0355,啃,ㄎㄣˇ,,,,,,
0356,啁,ㄓㄡ,,,,,,
0357,唯,ㄨㄟˊ,,,,,,
0358,唲,ㄦˊ,,,,,,
0359,唸,ㄋ丨ㄢˋ,,,,,,
0360,啻,ㄔˋ,,,,,,
0361,喜,ㄒ丨ˇ,,,,,,
0362,喪,ㄙㄤ,ㄙㄤˋ,,,,,
0363,喧,ㄒㄩㄢ,,,,,,
0364,喀,ㄎㄚ,,,,,,
0365,喑,丨ㄣ,,,,,,
0366,喫,ㄔ,,,,,,
0367,喔,ㄨㄛˋ,ㄛ,,,,,
0368,喇,ㄌㄚˇ,,,,,,
0369,喋,ㄉ丨ㄝˊ,,,,,,
0370,喳,ㄓㄚ,,,,,,
0371,喁,ㄩˊ,ㄩㄥˊ,,,,,
0372,喝,ㄏㄜ,ㄏㄜˋ,,,,,
0373,單,ㄉㄢ,ㄕㄢˋ,ㄔㄢˊ,,,,
0374,喟,ㄎㄨㄟˋ,,,,,,
0375,喏,ㄖㄜˇ,ㄋㄨㄛˋ,,,,,
0376,喤,ㄏㄨㄤˊ,,,,,,
0377,喒,ㄗㄢˊ,ㄗㄚˊ,,,,,
0378,喲,丨ㄠ,,,,,,
0379,喻,ㄩˋ,,,,,,
0380,喬,ㄑ丨ㄠˊ,,,,,,
0381,唾,ㄊㄨㄛˋ,,,,,,
0382,嗃,ㄏㄜˋ,,,,,,
0383,嗛,ㄑ丨ㄢˇ,,,,,,
0384,嗟,ㄐ丨ㄝ,,,,,,
0385,嗌,丨ˋ,,,,,,
0386,嗎,ㄇㄚˇ,‧ㄇㄚ,,,,,
0387,嗑,ㄎㄜˋ,ㄏㄜˊ,,,,,
0388,嗔,ㄔㄣ,,,,,,
0389,嗄,ㄕㄚˋ,,,,,,
0390,嗆,ㄑ丨ㄤˋ,,,,,,
0391,嘛,ㄇㄚˊ,‧ㄇㄚ,,,,,
0392,嘉,ㄐ丨ㄚ,,,,,,
0393,嘏,ㄍㄨˇ,,,,,,
0394,嗾,ㄙㄡˇ,,,,,,
0395,嗽,ㄙㄡˋ,,,,,,
0396,嘔,ㄡˇ,ㄡ,ㄡˋ,,,,
0397,嘎,ㄍㄚ,,,,,,
0398,嘁,ㄑ丨,,,,,,
0399,嘍,ㄌㄡˊ,,,,,,
0400,嘑,ㄏㄨ,,,,,,
0401,噌,ㄘㄥ,,,,,,
0402,嘯,ㄒ丨ㄠˋ,,,,,,
0403,噀,ㄒㄩㄣˋ,,,,,,
0404,噎,丨ㄝ,,,,,,
0405,噁,ㄜˇ,,,,,,
0406,嘲,ㄔㄠˊ,,,,,,
0407,嘿,ㄏㄟ,,,,,,
0408,嘬,ㄗㄨㄛ,,,,,,
0409,嘽,ㄊㄢ,ㄔㄢˇ,,,,,
0410,嘳,ㄎㄨㄟˋ,,,,,,
0411,噓,ㄒㄩ,,,,,,
0412,嘩,ㄏㄨㄚ,,,,,,
0413,嘸,ㄈㄨˇ,,,,,,
0414,噍,ㄐ丨ㄠˋ,ㄐ丨ㄠ,,,,,
0415,噴,ㄆㄣ,ㄆㄣˋ,‧ㄈㄣ,,,,
0416,噫,丨ˋ,,,,,,
0417,噹,ㄉㄤ,ㄉ丨ㄤ,,,,,
0418,噥,ㄋㄨㄥˊ,,,,,,
0419,噱,ㄐㄩㄝˊ,ㄒㄩㄝ,,,,,
0420,噦,ㄩㄝ,ㄏㄨㄟˋ,,,,,
0421,噶,ㄍㄜˊ,,,,,,
0422,噣,ㄓㄡˋ,,,,,,
0423,噯,ㄞˋ,,,,,,
