序號,正體字,簡化字,音一,音二,音三,音四,音五,音六,統讀
278,績,绩,jì,,,,,,統讀
279,跡,迹,jì,,,,,,統讀
280,寂,寂,jì,,,,,,統讀
281,箕,箕,ji,jī,,,,,
282,輯,辑,ji,jí,,,,,
283,茄,茄,jiā,qié,,,,,
284,夾,夹,jiā,jiá,ɡā,,,,
285,浹,浃,jiā,,,,,,統讀
286,甲,甲,jiǎ,,,,,,統讀
287,殲,歼,jiān,,,,,,統讀
288,韉,鞯,jiān,,,,,,統讀
289,間,间,jiān,jiàn,,,,,
290,趼,趼,jiǎn,,,,,,統讀
291,儉,俭,jiǎn,,,,,,統讀
292,韁,缰,jiānɡ,,,,,,統讀
293,膙,膙,jiǎnɡ,,,,,,統讀
294,嚼,嚼,jiáo,jué,jiào,,,,
295,僥,侥,jiǎo,yáo,,,,,
296,角,角,jiǎo,jué,,,,,
297,腳,脚,jiǎo,jué,,,,,
298,剿,剿,jiǎo,chāo,,,,,
299,校,校,jiào,xiào,,,,,
300,較,较,jiào,,,,,,統讀
301,酵,酵,jiào,,,,,,統讀
302,嗟,嗟,jiē,,,,,,統讀
303,癤,疖,jiē,,,,,,統讀
304,結,结,jié,jiē,,,,,
305,睫,睫,jié,,,,,,統讀
306,芥,芥,jiè,ɡài,,,,,
307,矜,矜,jīn,ɡuān,qín,,,,
308,僅,仅,jǐn,jìn,,,,,
309,饉,馑,jǐn,,,,,,統讀
310,覲,觐,jìn,,,,,,統讀
311,浸,浸,jìn,,,,,,統讀
312,斤,斤,jin,jīn,,,,,
313,莖,茎,jīnɡ,,,,,,統讀
314,粳,粳,jīnɡ,,,,,,統讀
315,鯨,鲸,jīnɡ,,,,,,統讀
316,境,境,jìnɡ,,,,,,統讀
317,痙,痉,jìnɡ,,,,,,統讀
318,勁,劲,jìnɡ,jìn,,,,,
319,窘,窘,jiǒnɡ,,,,,,統讀
320,究,究,jiū,,,,,,統讀
321,糾,纠,jiū,,,,,,統讀
322,鞠,鞠,jū,,,,,,統讀
323,鞫,鞫,jū,,,,,,統讀
324,掬,掬,jū,,,,,,統讀
325,苴,苴,jū,,,,,,統讀
326,咀,咀,jǔ,,,,,,
327,矩,矩,jǔ,ju,,,,,
328,俱,俱,jù,,,,,,統讀
329,龜,龟,jūn,ɡuī,qiū,,,,
330,菌,菌,jūn,jùn,,,,,
331,俊,俊,jùn,,,,,,統讀
332,卡,卡,kǎ,qiǎ,,,,,
333,揩,揩,kāi,,,,,,統讀
334,慨,慨,kǎi,,,,,,統讀
335,愾,忾,kài,,,,,,統讀
336,勘,勘,kān,,,,,,統讀
337,看,看,kān,kàn,,,,,
338,慷,慷,kānɡ,,,,,,統讀
339,拷,拷,kǎo,,,,,,統讀
340,坷,坷,kē,kě,,,,,
341,屙,疴,kē,,,,,,統讀
342,殼,壳,ké,qiào,,,,,
343,可,可,kě,kè,,,,,
344,恪,恪,kè,,,,,,統讀
345,刻,刻,kè,,,,,,統讀
346,克,克,kè,,,,,,
,剋,克,kè,,,,,,
347,空,空,kōnɡ,kònɡ,,,,,
348,瞘,眍,kōu,,,,,,統讀
349,矻,矻,kū,,,,,,統讀
