序號,字表別,大陸規範字,臺灣標準字一,臺灣標準字二,臺灣標準字三,臺灣標準字四
0782,一級字表,你,你,妳,,
0783,一級字表,住,住,,,
0784,一級字表,位,位,,,
0785,一級字表,伴,伴,,,
0786,一級字表,身,身,,,
0787,一級字表,皂,皂,皁,,
0788,一級字表,伺,伺,,,
0789,一級字表,佛,佛,彿,,
0790,一級字表,囱,囪,,,
0791,一級字表,近,近,,,
0792,一級字表,彻,徹,,,
0793,一級字表,役,役,,,
0794,一級字表,返,返,,,
0795,一級字表,余,餘,余,,
0796,一級字表,希,希,,,
0797,一級字表,坐,坐,,,
0798,一級字表,谷,穀,谷,,
0799,一級字表,妥,妥,,,
0800,一級字表,含,含,,,
0801,一級字表,邻,鄰,,,
0802,一級字表,岔,岔,,,
0803,一級字表,肝,肝,,,
0804,一級字表,肛,肛,,,
0805,一級字表,肚,肚,,,
0806,一級字表,肘,肘,,,
0807,一級字表,肠,腸,,,
0808,一級字表,龟,龜,,,
0809,一級字表,甸,甸,,,
0810,一級字表,免,免,,,
0811,一級字表,狂,狂,,,
0812,一級字表,犹,猶,,,
0813,一級字表,狈,狽,,,
0814,一級字表,角,角,,,
0815,一級字表,删,刪,,,
0816,一級字表,条,條,,,
0817,一級字表,彤,彤,,,
0818,一級字表,卵,卵,,,
0819,一級字表,灸,灸,,,
0820,一級字表,岛,島,,,
0821,一級字表,刨,刨,鉋,鑤,
0822,一級字表,迎,迎,,,
0823,一級字表,饭,飯,,,
0824,一級字表,饮,飲,,,
0825,一級字表,系,系,係,繫,
0826,一級字表,言,言,,,
0827,一級字表,冻,凍,,,
0828,一級字表,状,狀,,,
0829,一級字表,亩,畝,,,
0830,一級字表,况,況,,,
0831,一級字表,床,床,,,
0832,一級字表,库,庫,,,
0833,一級字表,庇,庇,,,
0834,一級字表,疗,療,,,
0835,一級字表,吝,吝,,,
0836,一級字表,应,應,,,
0837,一級字表,这,這,,,
0838,一級字表,冷,冷,,,
