臺灣詞,,,大陸詞,,,差異別
胺基酸,35700,70756,氨基酸,60529,18478,1
膠膜,121164,84932,塑封,10119,80650,1
航太,36643,80043,航天,36636,75368,1
芮氏,130077,133212,里氏,129312,133112,1
莫耳,122027,97185,摩爾,66223,8076,1
華爾滋,37328,6543,華爾茲,64008,6544,1
螢光,38252,79401,熒光,27760,75313,1
螢光劑,38255,87257,白色染料,124634,131823,1
販賣部,62687,7647,小賣部,69476,7635,1
資訊理論,40891,80074,信息理論,2932,80055,1
資訊化,122026,97181,信息化,81154,97169,1
資訊科技,122005,129925,信息科技,129960,129588,1
資料匯流排,124009,131192,數據總線,124084,126255,1
賓士,40943,61620,大奔,10785,2545,1
跳電,41500,71347,跳閘,41501,81015,1
身分證,41704,71393,身份證,41712,80960,1
輻合思考,130053,132846,聚合思維,125840,129749,1
迴紋針,42511,71168,曲別針,21935,81130,1
速賜康,42727,97125,噴他佐辛,121557,90305,1
過動症,43168,81500,多動症,10531,81511,1
都市更新,120600,21262,城市更新,123830,127317,1
隨身硬碟,129552,121910,移動硬盤,129166,121881,1
隨身碟,45616,71501,快閃碟,16153,5288,1
隨身碟,45616,71501,閃盤,123081,121763,1
雙槽洗衣機,130106,133302,雙缸洗衣機,129402,130814,1
電荷耦合元件,126255,129061,電荷耦合器件,126292,129064,1
震度,122524,121092,地震烈度,83428,84949,1
頂客家庭,129828,128455,丁克家庭,367,374,1
風浪板,47234,113951,帆板,85008,125659,1
體積莫耳濃度,127148,130964,體積摩爾濃度,127203,130962,1
中文化,122743,121481,漢化,26706,70134,1
主記憶體,1337,109181,內存,81523,16911,1
人造皮,1993,80363,人造革,1996,80364,1
保全員,3009,80506,保安員,3003,80509,1
元素態物質,122032,97193,單質,110244,17132,1
內搭褲,129785,127978,打底褲,129784,127980,1
公告期,49335,3329,公示期,4587,1147,1
共乘,4769,109610,拼車,18670,4220,1
加護病房,6024,59441,加強治療病房,6007,2711,1
千位元組,129833,128463,千字節,124108,128465,1
印表機,6792,59885,打印機,17787,79747,1
反聖嬰,123680,123882,反厄爾尼諾現象,110778,15203,1
吉貝素,130022,132440,赤黴素,95703,91562,1
同步口譯,7574,80517,同聲傳譯,7632,80522,1
同步口譯,7574,80517,同傳,7617,81040,1
同型合子,123864,123109,純合子,123941,123165,1
同基因型合子,123865,123164,純合子,123941,123165,1
周邊賽,8223,1782,外圍賽,10450,2446,1
咖哩,8124,63475,咖喱,8129,79782,1
單元劇,8692,61462,單本劇,8695,80586,1
噴射機,8877,61652,噴氣式飛機,8874,80595,1
噴墨印表機,130062,132920,噴墨式打印機,8880,81650,1
嚴重急性呼吸道症候群,123698,126722,非典型肺炎,110856,121450,1
國慶日,63601,6496,國慶節,63600,6509,1
國際換日線,75132,125612,日界線,123822,125723,1
圖形化使用者介面,124019,128025,圖形用戶界面,124097,128029,1
地主國,9615,62599,東道國,49422,84883,1
太空衣,11322,64616,太空服,11326,3117,1
太空衣,11322,64616,宇宙服,70401,6281,1
定向天擇,123876,125269,定向選擇,123949,125282,1
寬頻網路,13301,65763,寬帶網絡,13291,65788,1
寬頻電話,122068,115502,網上電話,34000,87795,1
封底裡,13384,80280,封三,13375,80279,1
工寮,14338,65553,工棚,14323,80153,1
急救金,49506,4374,應急金,17252,3793,1
戶口名簿,17562,66732,戶口簿,17563,81146,1
指導教授,121148,84925,導師,13611,61683,1
擬真視訊,121600,93607,網真,34018,88877,1
數位化,20749,68846,數字化,20742,79726,1
晶片卡,21724,10314,芯片卡,36815,90270,1
智慧卡,21753,10948,芯片卡,36815,90270,1
東協自由貿易協定,123750,128263,東盟自由貿易協定,130044,132877,1
染色分體,123887,128294,染色單體,123957,128295,1
核子反應器,22915,111587,反應堆,62662,7030,1
核子反應器爐心壽命,123034,123886,換料週期,123036,124769,1
殘障人士,24276,70019,殘疾人,24265,80159,1
氟氯碳化物,123667,128411,氯氟碳化物,123720,128409,1
活動劇,64194,22590,活報劇,64193,22079,1
混合式游泳,100405,120984,混合泳,89315,91779,1
滑鼠,26559,61582,鼠標器,48940,79768,1
潛盾機,121371,85478,盾構機,30850,85362,1
激勃素,130025,132444,赤黴素,95703,91562,1
