流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六
255,囪,ㄔㄨㄤ,ㄘㄨㄥ,,,,
256,囤,ㄉㄨㄣˋ,ㄊㄨㄣˊ,,,,
257,圈,ㄐㄩㄢˋ,ㄑㄩㄢ,,,,
258,圳,ㄗㄨㄣˋ,ㄓㄣˋ,,,,
259,地,˙ㄉㄜ,ㄉ丨ˋ,,,,
260,坊,ㄈㄤ,ㄈㄤˊ,,,,
261,均,ㄐㄩㄣ,,,,,
262,圾,ㄙㄜˋ,,,,,
263,坏,ㄆㄟ,ㄏㄨㄞˋ,,,,
264,坯,ㄆㄟ ,,,,,
265,坻,ㄉ丨ˇ ,ㄔˊ,,,,
266,垛,ㄉㄨㄛˇ,ㄉㄨㄛˋ ,,,,
267,埔,ㄆㄨˇ,,,,,
268,埋,ㄇㄞˊ,ㄇㄢˊ,,,,
269,埠,ㄅㄨˋ,,,,,
270,埤,ㄅ丨ˋ,ㄆ丨ˊ,,,,
271,堵,ㄉㄨˇ,,,,,
272,培,ㄆㄟˊ,ㄆㄡˇ,,,,
273,埶,ㄕˋ,丨ˋ ,,,,
274,場,ㄔㄤˇ,,,,,
275,堤,ㄊ丨ˊ,,,,,
276,堡,ㄅㄠˇ,,,,,
277,塞,ㄙㄜˋ,ㄙㄞ,ㄙㄞˋ,,,
278,墉,ㄩㄥ,,,,,
279,墳,ㄈㄣˊ,,,,,
280,墮,ㄉㄨㄛˋ,,,,,
281,壅,ㄩㄥ,,,,,
282,壘,ㄌㄟˇ,ㄌㄩˋ,,,,
283,壞,ㄏㄨㄞˋ,,,,,
284,夏,ㄐ丨ㄚˇ,ㄒ丨ㄚˋ,,,,
285,多,ㄉㄨㄛ,,,,,
286,大,ㄉㄚˋ,ㄉㄞˋ,,,,
287,夫,ㄈㄨ,ㄈㄨˊ,,,,
288,夭,丨ㄠ,,,,,
289,夾,ㄐ丨ㄚˊ,,,,,
290,奉,ㄈㄥˋ,,,,,
291,奇,ㄐ丨,ㄑ丨ˊ,,,,
292,奄,丨ㄢ,丨ㄢˇ,,,,
293,奔,ㄅㄣ,,,,,
294,契,ㄑ丨ˋ,ㄒ丨ㄝˋ,,,,
295,奘,ㄗㄤˋ,,,,,
296,奧,ㄠˋ,,,,,
297,女,ㄋㄩˇ,ㄋㄩˋ,,,,
298,妃,ㄈㄟ,,,,,
299,好,ㄏㄠˇ,ㄏㄠˋ,,,,
300,妨,ㄈㄤˊ,,,,,
301,妊,ㄖㄣˋ,,,,,
302,妻,ㄑ丨,ㄑ丨ˋ,,,,
303,委,ㄨㄟˇ,ㄨㄟ,,,,
304,姍,ㄕㄢ,,,,,
305,始,ㄕˇ,,,,,
306,姊,ㄐ丨ㄝˇ,ㄗˇ,,,,
307,妯,ㄓㄡˊ,,,,,
308,妳,ㄋ丨ˇ,ㄋㄞˇ,,,,
309,姣,ㄐ丨ㄠˇ,ㄒ丨ㄠˊ,,,,
310,姥,ㄇㄨˇ,ㄌㄠˇ,,,,
311,娜,ㄋㄚˋ,ㄋㄨㄛˊ,,,,
312,娠,ㄕㄣ,,,,,
313,娩,ㄇ丨ㄢˇ,ㄨㄢˇ,,,,
314,娶,ㄑㄩˇ,,,,,
315,婁,ㄌㄡˊ,,,,,
316,婀,ㄜ,,,,,
317,婢,ㄅ丨ˋ,,,,,
318,媛,ㄩㄢˊ,,,,,
319,嫖,ㄆ丨ㄠ,ㄆ丨ㄠˊ,,,,
320,孌,ㄌㄨㄢˊ ,,,,,
321,子,ㄗˇ,˙ㄗ,,,,
322,孚,ㄈㄨˊ,,,,,
323,孫,ㄙㄨㄣ,,,,,
324,孳,ㄗ,,,,,
325,孱,ㄔㄢˊ,,,,,
326,學,ㄒㄩㄝˊ,,,,,
327,孿,ㄌㄨㄢˊ,,,,,
328,它,ㄊㄚ,,,,,
329,守,ㄕㄡˇ,,,,,
330,宅,ㄓㄞˊ,,,,,
331,宛,ㄨㄢˇ,ㄩㄢ,,,,
332,害,ㄏㄞˋ,,,,,
333,家,ㄍㄨ,ㄐ丨ㄚ,,,,
334,宿,ㄒ丨ㄡˇ,ㄒ丨ㄡˋ,ㄙㄨˋ,,,
335,寧,ㄋ丨ㄥˊ,ㄋ丨ㄥˋ,,,,
336,寫,ㄒ丨ㄝˇ,,,,,
337,射,ㄕㄜˋ,丨ㄝˋ,,,,
338,尉,ㄨㄟˋ,ㄩˋ,,,,
339,將,ㄐ丨ㄤ,ㄐ丨ㄤˋ,ㄑ丨ㄤ,,,
340,尋,ㄒㄩㄣˊ,,,,,
341,導,ㄉㄠˇ,,,,,
342,少,ㄕㄠˇ,ㄕㄠˋ,,,,
343,尬,ㄍㄚˋ,,,,,
344,尷,ㄍㄢ,,,,,
345,尺,ㄔˇ,ㄔㄜˇ,,,,
346,尾,ㄨㄟˇ,,,,,
347,居,ㄐㄩ,,,,,
348,屎,ㄕˇ,,,,,
349,屏,ㄅ丨ㄥˇ,ㄆ丨ㄥˊ,,,,
350,屠,ㄊㄨˊ,,,,,
351,屬,ㄓㄨˇ,ㄕㄨˇ,,,,
352,屯,ㄊㄨㄣˊ,ㄓㄨㄣ,ㄔㄨㄣˊ,,,
353,岔,ㄔㄚˋ,,,,,
354,岡,ㄍㄤ,,,,,
355,岫,ㄒ丨ㄡˋ,,,,,
356,峒,ㄉㄨㄥˋ,ㄊㄨㄥˊ,,,,
357,崢,ㄓㄥ,,,,,
358,崗,ㄍㄤ,ㄍㄤˇ,,,,
359,嵌,ㄎㄢˇ,ㄑ丨ㄢ,,,,
360,嶄,ㄓㄢˇ,,,,,
361,嶸,ㄖㄨㄥˊ ,,,,,
362,巫,ㄨ,,,,,
363,差,ㄔㄚ,ㄔㄞ,ㄘ,ㄘㄨㄛ,,
364,巽,ㄒㄩㄣˋ,,,,,
365,帆,ㄈㄢˊ,,,,,
366,帖,ㄊ丨ㄝˇ,,,,,
367,帑,ㄊㄤˇ,,,,,
368,帥,ㄕㄨㄞˋ,,,,,
369,幅,ㄈㄨˊ,,,,,
370,幕,ㄇㄨˋ,,,,,
371,幢,ㄔㄨㄤˊ,,,,,
372,平,ㄅ丨ㄢˋ,ㄆ丨ㄥˊ,,,,
373,并,ㄅ丨ㄥ,ㄅ丨ㄥˋ,,,,
374,幹,ㄍㄢˋ,,,,,
375,幾,ㄐ丨,ㄐ丨ˇ,,,,
376,底,ㄉ丨ˇ,,,,,
377,度,ㄉㄨˋ,ㄉㄨㄛˋ,,,,
378,庸,ㄩㄥ,,,,,
379,廁,ㄘㄜˋ,,,,,
380,廈,ㄒ丨ㄚˋ,,,,,
381,廨,ㄒ丨ㄝˋ,,,,,
382,弁,ㄅ丨ㄢˋ,ㄆㄢˊ,,,,
383,弄,ㄋㄨㄥˋ,ㄌㄨㄥˋ,,,,
384,弛,ㄔˊ,,,,,
385,弟,ㄉ丨ˋ,ㄊ丨ˋ,,,,
386,張,ㄓㄤ,,,,,
387,強,ㄐ丨ㄤˋ,ㄑ丨ㄤˊ,ㄑ丨ㄤˇ,,,
388,彈,ㄉㄢˋ,ㄊㄢˊ,,,,
389,彊,ㄑ丨ㄤˊ,ㄑ丨ㄤˇ,ㄐ丨ㄤˋ,,,
390,彷,ㄆㄤˊ,ㄈㄤˇ,,,,
391,待,ㄉㄞ,ㄉㄞˋ,,,,
392,徊,ㄏㄨㄟˊ,,,,,
393,徇,ㄒㄩㄣˋ,,,,,
394,得,ㄉㄜˊ,˙ㄉㄜ,ㄉㄟˇ,,,
395,從,ㄗㄨㄥˋ,ㄘㄨㄥˊ,ㄗㄨㄥ,ㄘㄨㄥ,,
396,御,ㄩˋ,,,,,
397,復,ㄈㄨˋ,,,,,
398,徬,ㄆㄤˊ,,,,,
399,微,ㄨㄟˊ,,,,,
400,徵,ㄓㄥ,ㄓˇ,,,,
401,徼,ㄐ丨ㄠ,ㄐ丨ㄠˇ,ㄐ丨ㄠˋ,,,
402,忘,ㄨㄤˋ,,,,,
403,忪,ㄓㄨㄥ,ㄙㄨㄥ ,,,,
404,怔,ㄌㄥˋ,ㄓㄥ,,,,
405,怯,ㄑㄩㄝˋ,,,,,
406,怜,ㄌ丨ㄥˊ,ㄌ丨ㄢˊ,,,,
407,思,ㄙ,ㄙㄞ,,,,
408,怎,ㄗㄣˇ,,,,,
409,怨,ㄩㄢˋ,,,,,
410,恫,ㄉㄨㄥˋ,ㄊㄨㄥ,,,,
411,恪,ㄎㄜˋ,,,,,
412,恣,ㄗˋ,,,,,
413,悚,ㄙㄨㄥˇ,,,,,
414,悖,ㄅㄟˋ,,,,,
415,惡,ㄜˋ,ㄨ,ㄨˋ,,,
416,悶,ㄇㄣ,ㄇㄣˋ,,,,
417,愣,ㄌㄥˋ,,,,,
418,惺,ㄒ丨ㄥ,,,,,
419,慨,ㄎㄞˇ,,,,,
420,愀,ㄑ丨ㄠˇ,,,,,
421,愒,ㄎㄞˋ,ㄑ丨ˋ ,,,,
422,感,ㄍㄢˇ,,,,,
423,愾,ㄎㄞˋ,,,,,
424,慷,ㄎㄤ,,,,,
425,慵,ㄩㄥ,,,,,
426,應,丨ㄥ,丨ㄥˋ,,,,
427,懋,ㄇㄠˋ,,,,,
428,懶,ㄌㄢˇ,,,,,
429,懵,ㄇㄥˊ,,,,,
